,영화,리뷰,평점,site,okt_review,okt_details,okt_polarity
4185,암살,스토리를 너무 너무 잘 짰어요 반전도 좋고 스토리 라인도 좋고 정말 몰입력이 눈도 즐겁고 배우들 연기도 굳,10.0,naver,"[('스토리', 'Noun'), ('를', 'Josa'), ('너무', 'Adverb'), ('너무', 'Adverb'), ('자다', 'Verb'), ('짜다', 'Verb'), ('반전', 'Noun'), ('도', 'Josa'), ('좋다', 'Adjective'), ('스토리', 'Noun'), ('라인', 'Noun'), ('도', 'Josa'), ('좋다', 'Adjective'), ('정말', 'Noun'), ('몰입', 'Noun'), ('력', 'Suffix'), ('이', 'Josa'), ('눈', 'Noun'), ('도', 'Josa'), ('즐겁다', 'Adjective'), ('배우', 'Noun'), ('들', 'Suffix'), ('연기', 'Noun'), ('도', 'Josa'), ('굳다', 'Adjective')]","[[8, [('좋다', 'Adjective')], 2.0], [12, [('좋다', 'Adjective')], 2.0], [19, [('즐겁다', 'Adjective')], 2.0]]",6.0
4186,암살,재미 더럽게 없고 미화가 심함,1.0,naver,"[('재미', 'Noun'), ('더럽다', 'Adjective'), ('없다', 'Adjective'), ('미화', 'Noun'), ('가', 'Josa'), ('심하다', 'Adjective')]","[[0, [('재미', 'Noun')], 2.0], [1, [('더럽다', 'Adjective')], -2.0], [2, [('없다', 'Adjective')], -1.0], [5, [('심하다', 'Adjective')], -2.0]]",-3.0
4187,암살,그냥 싫다 배우들 연기를 못한다 지루해 여기에 나온 배우들은 믿고 거르기로 했다 ㅋㅋ,2.0,naver,"[('그냥', 'Noun'), ('싫다', 'Adjective'), ('배우', 'Noun'), ('들', 'Suffix'), ('연기', 'Noun'), ('를', 'Josa'), ('못', 'VerbPrefix'), ('하다', 'Verb'), ('지루하다', 'Adjective'), ('여기', 'Noun'), ('에', 'Josa'), ('나오다', 'Verb'), ('배우', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('믿다', 'Verb'), ('거르기', 'Noun'), ('로', 'Josa'), ('하다', 'Verb')]","[[6, [('못', 'VerbPrefix'), ('하다', 'Verb')], -2.0], [1, [('싫다', 'Adjective')], -2.0], [8, [('지루하다', 'Adjective')], -1.0], [15, [('믿다', 'Verb')], 1.0]]",-2.0
4188,암살,대한독립만세,10.0,naver,"[('대', 'Modifier'), ('한', 'Modifier'), ('독립', 'Noun'), ('만세', 'Noun')]",[],0.0
4189,암살,번을 봐도 독립군분들께 뼈저린 감사함을 느끼게 해주는 영화입니다,10.0,naver,"[('번', 'Noun'), ('을', 'Josa'), ('보다', 'Verb'), ('독립군', 'Noun'), ('분들', 'Suffix'), ('께', 'Josa'), ('뼈', 'Noun'), ('저리다', 'Adjective'), ('감사하다', 'Verb'), ('느끼다', 'Verb'), ('해주다', 'Verb'), ('영화', 'Noun'), ('이다', 'Adjective')]","[[8, [('감사하다', 'Verb')], 2.0]]",2.0
4190,암살,친일파들아 부끄럽지도 않냐 영화는 개재밌음,10.0,naver,"[('친일파', 'Noun'), ('들', 'Suffix'), ('아', 'Josa'), ('부끄럽다', 'Adjective'), ('않다', 'Verb'), ('영화', 'Noun'), ('는', 'Josa'), ('개', 'Noun'), ('재밌다', 'Adjective')]","[[3, [('부끄럽다', 'Adjective')], -1.0]]",-1.0
4191,암살,꿀잼 중 꿀잼 중 꿀잼임,10.0,naver,"[('꿀잼', 'Noun'), ('중', 'Noun'), ('꿀잼', 'Noun'), ('중', 'Noun'), ('꿀잼', 'Noun'), ('임', 'Noun')]","[[0, [('꿀잼', 'Noun')], 1.0], [2, [('꿀잼', 'Noun')], 1.0], [4, [('꿀잼', 'Noun')], 1.0]]",3.0
4192,암살,독립운동이라는 것은 영화의 소재가 될 만큼 정말 극적이고 어려운 일이라고 생각한다 아픈 역사이지만 일제강점기 소재를 너무 좋아한다 결론은 일본 싫음,8.0,naver,"[('독립운동', 'Noun'), ('이라는', 'Josa'), ('것', 'Noun'), ('은', 'Josa'), ('영화', 'Noun'), ('의', 'Josa'), ('소재', 'Noun'), ('가', 'Josa'), ('되다', 'Verb'), ('만큼', 'Noun'), ('정말', 'Noun'), ('극적', 'Noun'), ('이고', 'Josa'), ('어렵다', 'Adjective'), ('일이', 'Noun'), ('라고', 'Josa'), ('생각', 'Noun'), ('하다', 'Verb'), ('아프다', 'Adjective'), ('역사', 'Noun'), ('이지만', 'Josa'), ('일제강점기', 'Noun'), ('소재', 'Noun'), ('를', 'Josa'), ('너무', 'Adverb'), ('좋아하다', 'Adjective'), ('결론', 'Noun'), ('은', 'Josa'), ('일본', 'Noun'), ('싫다', 'Adjective')]","[[13, [('어렵다', 'Adjective')], -2.0], [18, [('아프다', 'Adjective')], -2.0], [25, [('좋아하다', 'Adjective')], 2.0], [29, [('싫다', 'Adjective')], -2.0]]",-4.0
4193,암살,그렇게 염원하던 광복이 되었음에도 5년 뒤 같은 민족끼리의 전쟁을 겪는 것이 한탄스러운가,10.0,naver,"[('그렇게', 'Adverb'), ('염원', 'Noun'), ('하다', 'Verb'), ('광복', 'Noun'), ('이', 'Josa'), ('되어다', 'Verb'), ('5년', 'Number'), ('뒤', 'Noun'), ('같다', 'Adjective'), ('민족', 'Noun'), ('끼리', 'Noun'), ('의', 'Josa'), ('전쟁', 'Noun'), ('을', 'Josa'), ('겪다', 'Verb'), ('것', 'Noun'), ('이', 'Josa'), ('한탄', 'Noun'), ('스러운', 'Josa'), ('가다', 'Verb')]","[[17, [('한탄', 'Noun')], -2.0]]",-2.0
4194,암살,전지현 하정우 둘 다 멋있다,10.0,naver,"[('전지현', 'Noun'), ('하정우', 'Noun'), ('둘', 'Noun'), ('다', 'Adverb'), ('멋있다', 'Adjective')]","[[4, [('멋있다', 'Adjective')], 2.0]]",2.0
