word,pos,description
산만했었던,Adjective,형용사
시원해서,Adjective,형용사
정교하게,Adjective,형용사
멸망하는데,Adjective,형용사
창피하게,Adjective,형용사
굴리다,Adjective,형용사
뜨거웠거늘,Adjective,형용사
아니죠,Adjective,형용사
없지한,Adjective,형용사
무시무시한,Adjective,형용사
조았어요,Adjective,형용사
짜증나네,Adjective,형용사
빠르며,Adjective,형용사
많기,Adjective,형용사
화하지는,Adjective,형용사
비정한,Adjective,형용사
험난하고,Adjective,형용사
다양한데,Adjective,형용사
실망하더라,Adjective,형용사
난잡했다,Adjective,형용사
소박함,Adjective,형용사
악랄한,Adjective,형용사
확실히,Adjective,형용사
아질한,Adjective,형용사
없나,Adjective,형용사
지루했고는,Adjective,형용사
재밌더만,Adjective,형용사
굴거야,Adjective,형용사
지루해지면서,Adjective,형용사
긴박해서,Adjective,형용사
빈곤한,Adjective,형용사
엄청나네,Adjective,형용사
강해진다,Adjective,형용사
세련되어졌다,Adjective,형용사
대단했나,Adjective,형용사
유쾌했던,Adjective,형용사
무섭군요,Adjective,형용사
재미없었네요,Adjective,형용사
고마운,Adjective,형용사
눅눅한,Adjective,형용사
비참하고,Adjective,형용사
무섭든,Adjective,형용사
이뻐서,Adjective,형용사
불편하면,Adjective,형용사
간단하다,Adjective,형용사
저급한,Adjective,형용사
이로워서,Adjective,형용사
고통스러워서,Adjective,형용사
밀접하게,Adjective,형용사
부끄러웠습니다,Adjective,형용사
맑아,Adjective,형용사
이로워,Adjective,형용사
그러야,Adjective,형용사
슬펐다,Adjective,형용사
화려히,Adjective,형용사
있던,Adjective,형용사
성장해서,Adjective,형용사
처절해,Adjective,형용사
많으셨겠네요,Adjective,형용사
정교하다,Adjective,형용사
의심스러울,Adjective,형용사
재미없다는,Adjective,형용사
급히,Adjective,형용사
궁금해하지,Adjective,형용사
재미없다이게도,Adjective,형용사
벅차기만,Adjective,형용사
악랄하여,Adjective,형용사
배부른,Adjective,형용사
작인가말이,Adjective,형용사
낮았던,Adjective,형용사
싱거워지는,Adjective,형용사
뿐이었던,Adjective,형용사
삭막했나,Adjective,형용사
실망했습니다,Adjective,형용사
장황한,Adjective,형용사
비정할,Adjective,형용사
직하기만,Adjective,형용사
같기만,Adjective,형용사
놀라웠던,Adjective,형용사
안일하다면,Adjective,형용사
싫지는,Adjective,형용사
짧기,Adjective,형용사
비장함을,Adjective,형용사
심심했을,Adjective,형용사
칠해서,Adjective,형용사
없겠지,Adjective,형용사
똑똑하다,Adjective,형용사
훌륭하니까,Adjective,형용사
분명해,Adjective,형용사
예쁘네,Adjective,형용사
아니기,Adjective,형용사
창피하지,Adjective,형용사
미안한데,Adjective,형용사
좋앗어요,Adjective,형용사
예쁘다,Adjective,형용사
활발하게,Adjective,형용사
끔찍했던,Adjective,형용사
있겠죠,Adjective,형용사
충실했다는,Adjective,형용사
뻔함진,Adjective,형용사
망연자실하게,Adjective,형용사
괜찮았지만,Adjective,형용사
작히,Adjective,형용사
강하다는,Adjective,형용사
어정쩡한,Adjective,형용사
쓰라리다,Adjective,형용사
멋있더니,Adjective,형용사
괜찮지만,Adjective,형용사
심심해지고,Adjective,형용사
화려해지긴,Adjective,형용사
특별하지,Adjective,형용사
쩡쩡한,Adjective,형용사
허무해요,Adjective,형용사
가득함,Adjective,형용사
난해하게,Adjective,형용사
특이하나,Adjective,형용사
부족하다,Adjective,형용사
좁았을,Adjective,형용사
같아서,Adjective,형용사
허무함,Adjective,형용사
신선하지도,Adjective,형용사
실패해,Adjective,형용사
독특해서,Adjective,형용사
아니라니까,Adjective,형용사
많을수록,Adjective,형용사
뚜렷하나,Adjective,형용사
허전하긴,Adjective,형용사
잔인했는지,Adjective,형용사
소중합니다,Adjective,형용사
불쾌하다,Adjective,형용사
무겁다고,Adjective,형용사
파릇파릇함을,Adjective,형용사
좋소,Adjective,형용사
기대하게끔,Adjective,형용사
실패하다가,Adjective,형용사
아니오,Adjective,형용사
면밀히,Adjective,형용사
간단하고,Adjective,형용사
불친절하다,Adjective,형용사
이상해도,Adjective,형용사
심했던,Adjective,형용사
건강하게,Adjective,형용사
멋지고,Adjective,형용사
황당했,Adjective,형용사
동떨어져,Adjective,형용사
유쾌한,Adjective,형용사
괜찮았으요,Adjective,형용사
같아,Adjective,형용사
더럽다는,Adjective,형용사
맛있다니,Adjective,형용사
불편했다,Adjective,형용사
후회됩니다,Adjective,형용사
이랬었나,Adjective,형용사
넘쳐,Adjective,형용사
씁쓸할,Adjective,형용사
자연스런,Adjective,형용사
서툴러진,Adjective,형용사
높으나,Adjective,형용사
적당합니다,Adjective,형용사
벅차,Adjective,형용사
미안하고,Adjective,형용사
강해서인지,Adjective,형용사
싫으므로,Adjective,형용사
속상했다,Adjective,형용사
재탕하고,Adjective,형용사
많았었는데,Adjective,형용사
달콤하게,Adjective,형용사
무서웠는데,Adjective,형용사
더하였다,Adjective,형용사
사랑스럽니,Adjective,형용사
혹독하게,Adjective,형용사
존하는,Adjective,형용사
빡치고,Adjective,형용사
유쾌하게,Adjective,형용사
