word,pos,description
치중,NNG,보통 명사
인상적,NNG,보통 명사
오정,NNG,보통 명사
모션,NNG,보통 명사
머릿속,NNG,보통 명사
오락,NNG,보통 명사
고급,NNG,보통 명사
아지,NNG,보통 명사
유머,NNG,보통 명사
전율,NNG,보통 명사
보시,NNG,보통 명사
전투,NNG,보통 명사
출신,NNG,보통 명사
보잘것,NNG,보통 명사
쿠폰,NNG,보통 명사
무협,NNG,보통 명사
애,NNG,보통 명사
궁,NNG,보통 명사
ㅂ,NNG,보통 명사
마,NNG,보통 명사
줄거리,NNG,보통 명사
여운,NNG,보통 명사
기준점,NNG,보통 명사
하소연,NNG,보통 명사
부담,NNG,보통 명사
흥미,NNG,보통 명사
본지,NNG,보통 명사
대중,NNG,보통 명사
최종,NNG,보통 명사
지랄,NNG,보통 명사
거,NNG,보통 명사
씨,NNG,보통 명사
여,NNG,보통 명사
배꼽,NNG,보통 명사
미지,NNG,보통 명사
별개,NNG,보통 명사
마케팅,NNG,보통 명사
포스,NNG,보통 명사
무엇,NNG,보통 명사
근,NNG,보통 명사
사과,NNG,보통 명사
활용,NNG,보통 명사
호소,NNG,보통 명사
중이,NNG,보통 명사
용기,NNG,보통 명사
내도,NNG,보통 명사
순간,NNG,보통 명사
표현력,NNG,보통 명사
왜군,NNG,보통 명사
표정,NNG,보통 명사
강요,NNG,보통 명사
이랑,NNG,보통 명사
점수,NNG,보통 명사
단조,NNG,보통 명사
전결,NNG,보통 명사
사실,NNG,보통 명사
쓰레기,NNG,보통 명사
김치찌개,NNG,보통 명사
발전,NNG,보통 명사
자부,NNG,보통 명사
순은,NNG,보통 명사
정석,NNG,보통 명사
님,NNG,보통 명사
간,NNG,보통 명사
역사적,NNG,보통 명사
미,NNG,보통 명사
감회,NNG,보통 명사
교훈,NNG,보통 명사
요초,NNG,보통 명사
생인,NNG,보통 명사
투명,NNG,보통 명사
표,NNG,보통 명사
상기,NNG,보통 명사
최다,NNG,보통 명사
남인,NNG,보통 명사
완전,NNG,보통 명사
왕조,NNG,보통 명사
폭력,NNG,보통 명사
재식,NNG,보통 명사
능력,NNG,보통 명사
뽕,NNG,보통 명사
난리,NNG,보통 명사
민,NNG,보통 명사
등,NNG,보통 명사
서,NNG,보통 명사
대명,NNG,보통 명사
역대,NNG,보통 명사
라면,NNG,보통 명사
입구,NNG,보통 명사
아들,NNG,보통 명사
홍은,NNG,보통 명사
토론,NNG,보통 명사
고전,NNG,보통 명사
영상,NNG,보통 명사
어이,NNG,보통 명사
돌,NNG,보통 명사
시간,NNG,보통 명사
조직,NNG,보통 명사
누룽지,NNG,보통 명사
특별,NNG,보통 명사
이름,NNG,보통 명사
패스,NNG,보통 명사
동,NNG,보통 명사
일반,NNG,보통 명사
거리,NNG,보통 명사
사랑,NNG,보통 명사
비례,NNG,보통 명사
본적,NNG,보통 명사
싸구려,NNG,보통 명사
이병,NNG,보통 명사
개판,NNG,보통 명사
다,NNG,보통 명사
한숨,NNG,보통 명사
미래,NNG,보통 명사
공감,NNG,보통 명사
목숨,NNG,보통 명사
주연,NNG,보통 명사
