word,polarity,okt_word,pos_len
가볍고 시원하게,2.0,"[('가볍고', 'Adjective'), ('시원하게', 'Adjective')]",2
가볍고 편안하게,2.0,"[('가볍고', 'Adjective'), ('편안하게', 'Adjective')]",2
가볍고 환하게,2.0,"[('가볍고', 'Adjective'), ('환하게', 'Adjective')]",2
가분가분,1.0,"[('가분가분', 'Adverb')]",1
가분히,1.0,"[('가분히', 'Adverb')]",1
가뿐가뿐,1.0,"[('가뿐가뿐', 'Adverb')]",1
가뿐가뿐하다,1.0,"[('가뿐가뿐', 'Adverb'), ('하다', 'Verb')]",2
가뿐가뿐히,1.0,"[('가뿐가뿐히', 'Adverb')]",1
가뿐하게,1.0,"[('가뿐하게', 'Adjective')]",1
가뿐하다,1.0,"[('가뿐하다', 'Adjective')]",1
가뿐한,1.0,"[('가뿐한', 'Adjective')]",1
가뿐한 느낌,1.0,"[('가뿐한', 'Adjective'), ('느낌', 'Noun')]",2
가뿐한 느낌이,1.0,"[('가뿐한', 'Adjective'), ('느낌', 'Noun'), ('이', 'Josa')]",3
가뿐히,1.0,"[('가뿐히', 'Adjective')]",1
가쁘게,-1.0,"[('가쁘', 'Noun'), ('게', 'Josa')]",2
가쁘게 쉬다,-1.0,"[('가쁘', 'Noun'), ('게', 'Josa'), ('쉬', 'Noun'), ('다', 'Josa')]",4
가쁘고,-1.0,"[('가쁘', 'Noun'), ('고', 'Josa')]",2
가쁘고 거칠게,-1.0,"[('가쁘', 'Noun'), ('고', 'Josa'), ('거칠게', 'Verb')]",3
가쁘고 급하게,-1.0,"[('가쁘', 'Noun'), ('고', 'Josa'), ('급하게', 'Adjective')]",3
가쁜,-1.0,"[('가쁜', 'Noun')]",1
가쁜 증상,-1.0,"[('가쁜', 'Noun'), ('증상', 'Noun')]",2
가살스럽다,-1.0,"[('가', 'Verb'), ('살', 'Noun'), ('스럽다', 'Adjective')]",3
가소롭게,-1.0,"[('가소롭게', 'Adjective')]",1
가소롭다,-1.0,"[('가소롭다', 'Adjective')]",1
가스 중독이나,-1.0,"[('가스', 'Noun'), ('중독', 'Noun'), ('이나', 'Josa')]",3
가슴 아파하다,-2.0,"[('가슴', 'Noun'), ('아파하다', 'Adjective')]",2
가슴 아파함,-2.0,"[('가슴', 'Noun'), ('아파', 'Adjective'), ('함', 'Noun')]",3
가슴 아프게,-2.0,"[('가슴', 'Noun'), ('아프게', 'Adjective')]",2
가슴 아프고,-2.0,"[('가슴', 'Noun'), ('아프고', 'Adjective')]",2
가슴 아프다,-2.0,"[('가슴', 'Noun'), ('아프다', 'Adjective')]",2
가슴속에 근심이나,-2.0,"[('가슴속', 'Noun'), ('에', 'Josa'), ('근심', 'Noun'), ('이나', 'Josa')]",4
가슴앓이,-2.0,"[('가슴앓이', 'Noun')]",1
가슴앓이하다,-2.0,"[('가슴앓이', 'Noun'), ('하다', 'Verb')]",2
가슴이 갑갑할,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('갑갑할', 'Adjective')]",3
가슴이 괴롭거나,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('괴롭거나', 'Adjective')]",3
가슴이 그득한,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('그득한', 'Adjective')]",3
가슴이 답답하고,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('답답하고', 'Adjective')]",3
가슴이 답답하다,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('답답하다', 'Adjective')]",3
가슴이 답답하며,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('답답하며', 'Adjective')]",3
가슴이 답답하여,-1.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('답답하여', 'Adjective')]",3
가슴이 답답한,-1.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('답답한', 'Adjective')]",3
가슴이 답답해진다,-1.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('답답해진다', 'Adjective')]",3
가슴이 아프다,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('아프다', 'Adjective')]",3
가슴이 아픈,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('아픈', 'Adjective')]",3
가슴이 울렁거리는,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('울렁거리는', 'Verb')]",3
가슴이 울렁거리다,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('울렁거리다', 'Verb')]",3
가슴이 찢어질,-2.0,"[('가슴', 'Noun'), ('이', 'Josa'), ('찢어질', 'Verb')]",3
가습이 답답하고,-1.0,"[('가습이', 'Verb'), ('답답하고', 'Adjective')]",2
가엽다,-1.0,"[('가엽다', 'Noun')]",1
가엾게,-1.0,"[('가엾게', 'Adjective')]",1
가엾게 여겨,-1.0,"[('가엾게', 'Adjective'), ('여겨', 'Verb')]",2
가엾게 여기다,-1.0,"[('가엾게', 'Adjective'), ('여기', 'Noun'), ('다', 'Josa')]",3
가엾고,-1.0,"[('가엾고', 'Adjective')]",1
가엾고 불쌍하다,-2.0,"[('가엾고', 'Adjective'), ('불쌍하다', 'Adjective')]",2
가엾고 불쌍하여,-2.0,"[('가엾고', 'Adjective'), ('불쌍하여', 'Adjective')]",2
가엾고 불쌍한,-2.0,"[('가엾고', 'Adjective'), ('불쌍한', 'Adjective')]",2
가엾고 불쌍함,-2.0,"[('가엾고', 'Adjective'), ('불쌍함', 'Adjective')]",2
가엾고 애처롭다,-2.0,"[('가엾고', 'Adjective'), ('애처롭다', 'Adjective')]",2
가엾다,-1.0,"[('가엾다', 'Adjective')]",1
가운데에서 뛰어남,2.0,"[('가운데', 'Noun'), ('에서', 'Josa'), ('뛰어남', 'Adjective')]",3
가위눌리다,-1.0,"[('가위', 'Noun'), ('눌', 'Noun'), ('리다', 'Noun')]",3
가음 아프고,-2.0,"[('가음', 'Verb'), ('아프고', 'Adjective')]",2
가장 거룩한,2.0,"[('가장', 'Noun'), ('거룩한', 'Adjective')]",2
가장 뛰어나,2.0,"[('가장', 'Noun'), ('뛰어나', 'Adjective')]",2
가장 뛰어난,2.0,"[('가장', 'Noun'), ('뛰어난', 'Adjective')]",2
가장 올바르게,2.0,"[('가장', 'Noun'), ('올바르게', 'Adjective')]",2
가장 좋은,2.0,"[('가장', 'Noun'), ('좋은', 'Adjective')]",2
가장 중요한,1.0,"[('가장', 'Noun'), ('중요한', 'Adjective')]",2
가증맞다,-1.0,"[('가증', 'Noun'), ('맞다', 'Verb')]",2
가증스럽다,-1.0,"[('가증', 'Noun'), ('스럽다', 'Adjective')]",2
가지런하게 하는,1.0,"[('가지런하게', 'Adjective'), ('하는', 'Verb')]",2
가지런하게 하다,1.0,"[('가지런하게', 'Adjective'), ('하다', 'Verb')]",2
가지런하다,1.0,"[('가지런하다', 'Adjective')]",1
가지런하지 아니하다,-1.0,"[('가지런하지', 'Adjective'), ('아니하다', 'Adjective')]",2
가지런하지 아니한,-1.0,"[('가지런하지', 'Adjective'), ('아니한', 'Adjective')]",2
가짜,-2.0,"[('가짜', 'Noun')]",1
가책이 되어,-1.0,"[('가책', 'Noun'), ('이', 'Josa'), ('되어', 'Verb')]",3
가치,1.0,"[('가치', 'Noun')]",1
가치 없는,-2.0,"[('가치', 'Noun'), ('없는', 'Adjective')]",2
가치 있는,2.0,"[('가치', 'Noun'), ('있는', 'Adjective')]",2
가치 있다,2.0,"[('가치', 'Noun'), ('있다', 'Adjective')]",2
가치가,1.0,"[('가치', 'Noun'), ('가', 'Josa')]",2
가치가 없다,-2.0,"[('가치', 'Noun'), ('가', 'Josa'), ('없다', 'Adjective')]",3
가치가 없을,-2.0,"[('가치', 'Noun'), ('가', 'Josa'), ('없을', 'Adjective')]",3
가치가 없이,-2.0,"[('가치', 'Noun'), ('가', 'Josa'), ('없이', 'Adverb')]",3
가치가 있다,2.0,"[('가치', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective')]",3
